"from","to","time","train"
"CAS","RCD","240","WGW > BBN"
"CAT","WHS","180","CAT > VIC"
"CAU","SDP","240","LSK > LOO"
"CAU","SKN","180","LOO > LSK"
"CBB","LEL","300","SIV > SER"
"CBB","SIV","180","PNZ > SIV"
"CBE","SEG","540","DVP > VIC"
"CBE","SPH","600","VIC > DVP"
"CBG","AUD","780","CBG > SSD"
"CBG","CMB","300","KGX > ELY"
"CBG","DUL","960","CBG > IPS"
"CBG","ELY","780","SSD > BHM"
"CBG","FXN","540","CBG > KGX"
"CBG","RYS","840","KLN > KGX"
"CBG","WBC","360","KGX > KLN"
"CBK","PIN","240","SAL > EXD"
"CBK","WHM","300","EXD > WAT"
"CBN","RED","360","PNZ > PAD"
"CBP","DRG","120","GFD > WEA"
"CBP","SGN","180","WEA > GFD"
"CBR","LWS","300","VIC > HGS"
